Epoch 1, Loss: 1.695986711155728, Accuracy: 36.87%, Duration: 9.195032119750977 seconds
Epoch 2, Loss: 1.1996807404186414, Accuracy: 56.724%, Duration: 7.881281137466431 seconds
Epoch 3, Loss: 0.9591752587986724, Accuracy: 66.174%, Duration: 8.039209842681885 seconds
Epoch 4, Loss: 0.8268124025191188, Accuracy: 70.928%, Duration: 8.059882640838623 seconds
Epoch 5, Loss: 0.7331093558112679, Accuracy: 74.55%, Duration: 7.934736251831055 seconds
Epoch 6, Loss: 0.677550805422961, Accuracy: 76.632%, Duration: 7.991656541824341 seconds
Epoch 7, Loss: 0.6517751517960483, Accuracy: 77.654%, Duration: 8.147741317749023 seconds
Epoch 8, Loss: 0.6256572195636038, Accuracy: 78.514%, Duration: 8.052999019622803 seconds
Epoch 9, Loss: 0.6065304089537666, Accuracy: 79.118%, Duration: 8.070321798324585 seconds
Epoch 10, Loss: 0.5871297560841836, Accuracy: 79.878%, Duration: 8.169163465499878 seconds
Epoch 11, Loss: 0.5745519962914459, Accuracy: 80.048%, Duration: 7.8053765296936035 seconds
Epoch 12, Loss: 0.5550819877773294, Accuracy: 81.036%, Duration: 8.001465559005737 seconds
Epoch 13, Loss: 0.5516630028519789, Accuracy: 81.208%, Duration: 8.004297733306885 seconds
Epoch 14, Loss: 0.5378423155573628, Accuracy: 81.716%, Duration: 7.829507112503052 seconds
Epoch 15, Loss: 0.5357934289881031, Accuracy: 81.466%, Duration: 8.084525108337402 seconds
Epoch 16, Loss: 0.5266290308569398, Accuracy: 82.046%, Duration: 8.056642055511475 seconds
Epoch 17, Loss: 0.5217341297422834, Accuracy: 82.05%, Duration: 8.081462383270264 seconds
Epoch 18, Loss: 0.5142753272867568, Accuracy: 82.456%, Duration: 8.100093126296997 seconds
Epoch 19, Loss: 0.5065329853073716, Accuracy: 82.588%, Duration: 8.162397146224976 seconds
Epoch 20, Loss: 0.5096712279350252, Accuracy: 82.54%, Duration: 7.797822713851929 seconds
Epoch 21, Loss: 0.5009094300629843, Accuracy: 82.838%, Duration: 8.095094442367554 seconds
Epoch 22, Loss: 0.49351685545633517, Accuracy: 83.054%, Duration: 8.02045226097107 seconds
Epoch 23, Loss: 0.4965625551655469, Accuracy: 82.942%, Duration: 7.80370831489563 seconds
Epoch 24, Loss: 0.48431209972142564, Accuracy: 83.364%, Duration: 8.044998168945312 seconds
Epoch 25, Loss: 0.4811684592910435, Accuracy: 83.306%, Duration: 8.074918270111084 seconds
Epoch 26, Loss: 0.4835752003333148, Accuracy: 83.332%, Duration: 7.814318656921387 seconds
Epoch 27, Loss: 0.47838903174680825, Accuracy: 83.466%, Duration: 8.034137725830078 seconds
Epoch 28, Loss: 0.4747860441579843, Accuracy: 83.77%, Duration: 8.195440769195557 seconds
Epoch 29, Loss: 0.46986980191277117, Accuracy: 83.77%, Duration: 8.309194087982178 seconds
Epoch 30, Loss: 0.46432390549908514, Accuracy: 84.188%, Duration: 8.11479902267456 seconds
Epoch 31, Loss: 0.46100719410287755, Accuracy: 84.028%, Duration: 8.144937515258789 seconds
Epoch 32, Loss: 0.46022918972822713, Accuracy: 84.258%, Duration: 8.2160804271698 seconds
Epoch 33, Loss: 0.4672805612044566, Accuracy: 83.956%, Duration: 8.084472894668579 seconds
Epoch 34, Loss: 0.4541944683055439, Accuracy: 84.426%, Duration: 8.193007469177246 seconds
Epoch 35, Loss: 0.4620339929905084, Accuracy: 84.192%, Duration: 8.009788990020752 seconds
Epoch 36, Loss: 0.44785753273598067, Accuracy: 84.644%, Duration: 8.136996746063232 seconds
Epoch 37, Loss: 0.4521411483550011, Accuracy: 84.456%, Duration: 8.134765625 seconds
Epoch 38, Loss: 0.44429926334134756, Accuracy: 84.896%, Duration: 8.096516847610474 seconds
Epoch 39, Loss: 0.44893343342692044, Accuracy: 84.646%, Duration: 8.069206476211548 seconds
