Epoch [1/100], Loss: 1.7469, Accuracy: 34.70%, Time: 12.76 seconds
Epoch [2/100], Loss: 1.2945, Accuracy: 52.18%, Time: 4.91 seconds
Epoch [3/100], Loss: 1.0078, Accuracy: 64.04%, Time: 5.09 seconds
Epoch [4/100], Loss: 0.8067, Accuracy: 71.55%, Time: 5.14 seconds
Epoch [5/100], Loss: 0.6809, Accuracy: 75.88%, Time: 5.26 seconds
Epoch [6/100], Loss: 0.5771, Accuracy: 80.00%, Time: 4.95 seconds
Epoch [7/100], Loss: 0.5178, Accuracy: 81.88%, Time: 5.20 seconds
Epoch [8/100], Loss: 0.4596, Accuracy: 84.01%, Time: 5.21 seconds
Epoch [9/100], Loss: 0.4150, Accuracy: 85.42%, Time: 5.13 seconds
Epoch [10/100], Loss: 0.3791, Accuracy: 86.78%, Time: 4.92 seconds
Epoch [11/100], Loss: 0.3402, Accuracy: 88.14%, Time: 5.00 seconds
Epoch [12/100], Loss: 0.3215, Accuracy: 88.79%, Time: 4.97 seconds
Epoch [13/100], Loss: 0.2937, Accuracy: 89.66%, Time: 4.93 seconds
Epoch [14/100], Loss: 0.2633, Accuracy: 90.85%, Time: 4.99 seconds
Epoch [15/100], Loss: 0.2496, Accuracy: 91.25%, Time: 4.94 seconds
Epoch [16/100], Loss: 0.2295, Accuracy: 92.01%, Time: 4.99 seconds
Epoch [17/100], Loss: 0.2053, Accuracy: 92.83%, Time: 4.94 seconds
Epoch [18/100], Loss: 0.2108, Accuracy: 92.52%, Time: 4.95 seconds
Epoch [19/100], Loss: 0.1980, Accuracy: 92.96%, Time: 4.94 seconds
Epoch [20/100], Loss: 0.1807, Accuracy: 93.60%, Time: 4.99 seconds
Epoch [21/100], Loss: 0.1757, Accuracy: 93.77%, Time: 5.15 seconds
Epoch [22/100], Loss: 0.1658, Accuracy: 94.22%, Time: 5.00 seconds
Epoch [23/100], Loss: 0.1650, Accuracy: 94.16%, Time: 4.99 seconds
Epoch [24/100], Loss: 0.1527, Accuracy: 94.53%, Time: 4.91 seconds
Epoch [25/100], Loss: 0.1438, Accuracy: 94.94%, Time: 5.00 seconds
Epoch [26/100], Loss: 0.1592, Accuracy: 94.46%, Time: 4.98 seconds
Epoch [27/100], Loss: 0.1420, Accuracy: 95.02%, Time: 4.88 seconds
Epoch [28/100], Loss: 0.1412, Accuracy: 95.11%, Time: 4.97 seconds
Epoch [29/100], Loss: 0.1370, Accuracy: 95.19%, Time: 4.96 seconds
Epoch [30/100], Loss: 0.1482, Accuracy: 94.79%, Time: 4.93 seconds
Epoch [31/100], Loss: 0.1344, Accuracy: 95.31%, Time: 4.95 seconds
Epoch [32/100], Loss: 0.1372, Accuracy: 95.25%, Time: 4.91 seconds
Epoch [33/100], Loss: 0.1310, Accuracy: 95.45%, Time: 4.91 seconds
Epoch [34/100], Loss: 0.1299, Accuracy: 95.44%, Time: 4.91 seconds
Epoch [35/100], Loss: 0.1288, Accuracy: 95.49%, Time: 5.11 seconds
Epoch [36/100], Loss: 0.1175, Accuracy: 95.98%, Time: 4.89 seconds
Epoch [37/100], Loss: 0.1268, Accuracy: 95.62%, Time: 5.05 seconds
Epoch [38/100], Loss: 0.1200, Accuracy: 95.84%, Time: 4.95 seconds
Epoch [39/100], Loss: 0.1194, Accuracy: 95.84%, Time: 4.91 seconds
Epoch [40/100], Loss: 0.1185, Accuracy: 95.88%, Time: 4.94 seconds
Epoch [41/100], Loss: 0.1097, Accuracy: 96.18%, Time: 4.87 seconds
Epoch [42/100], Loss: 0.1128, Accuracy: 96.18%, Time: 4.94 seconds
Epoch [43/100], Loss: 0.1139, Accuracy: 96.09%, Time: 4.93 seconds
Epoch [44/100], Loss: 0.1144, Accuracy: 96.03%, Time: 4.96 seconds
Epoch [45/100], Loss: 0.1268, Accuracy: 95.59%, Time: 4.92 seconds
Epoch [46/100], Loss: 0.1144, Accuracy: 96.07%, Time: 4.95 seconds
Epoch [47/100], Loss: 0.1140, Accuracy: 96.04%, Time: 4.93 seconds
Epoch [48/100], Loss: 0.1064, Accuracy: 96.37%, Time: 5.00 seconds
Epoch [49/100], Loss: 0.1105, Accuracy: 96.25%, Time: 4.95 seconds
Epoch [50/100], Loss: 0.1002, Accuracy: 96.61%, Time: 4.94 seconds
Epoch [51/100], Loss: 0.1321, Accuracy: 95.42%, Time: 4.95 seconds
Epoch [52/100], Loss: 0.0968, Accuracy: 96.68%, Time: 4.94 seconds
Epoch [53/100], Loss: 0.1054, Accuracy: 96.38%, Time: 4.95 seconds
Epoch [54/100], Loss: 0.1095, Accuracy: 96.16%, Time: 4.96 seconds
Epoch [55/100], Loss: 0.1032, Accuracy: 96.42%, Time: 5.04 seconds
Epoch [56/100], Loss: 0.1103, Accuracy: 96.09%, Time: 4.99 seconds
Epoch [57/100], Loss: 0.1144, Accuracy: 96.06%, Time: 4.94 seconds
Epoch [58/100], Loss: 0.1055, Accuracy: 96.38%, Time: 4.95 seconds
Epoch [59/100], Loss: 0.1103, Accuracy: 96.23%, Time: 4.93 seconds
Epoch [60/100], Loss: 0.1062, Accuracy: 96.26%, Time: 4.94 seconds
Epoch [61/100], Loss: 0.0977, Accuracy: 96.58%, Time: 4.92 seconds
Epoch [62/100], Loss: 0.1121, Accuracy: 96.17%, Time: 5.12 seconds
Epoch [63/100], Loss: 0.1026, Accuracy: 96.55%, Time: 4.92 seconds
Epoch [64/100], Loss: 0.0939, Accuracy: 96.80%, Time: 4.94 seconds
Epoch [65/100], Loss: 0.1135, Accuracy: 96.07%, Time: 4.96 seconds
Epoch [66/100], Loss: 0.1145, Accuracy: 96.06%, Time: 5.11 seconds
Epoch [67/100], Loss: 0.0929, Accuracy: 96.82%, Time: 5.03 seconds
Epoch [68/100], Loss: 0.1118, Accuracy: 96.11%, Time: 5.21 seconds
Epoch [69/100], Loss: 0.1075, Accuracy: 96.29%, Time: 5.14 seconds
Epoch [70/100], Loss: 0.0932, Accuracy: 96.98%, Time: 4.90 seconds
Epoch [71/100], Loss: 0.0948, Accuracy: 96.74%, Time: 5.01 seconds
Epoch [72/100], Loss: 0.1033, Accuracy: 96.45%, Time: 4.91 seconds
Epoch [73/100], Loss: 0.1009, Accuracy: 96.57%, Time: 4.97 seconds
Epoch [74/100], Loss: 0.0988, Accuracy: 96.65%, Time: 4.98 seconds
Epoch [75/100], Loss: 0.1034, Accuracy: 96.52%, Time: 4.94 seconds
Epoch [76/100], Loss: 0.0979, Accuracy: 96.65%, Time: 4.95 seconds
Epoch [77/100], Loss: 0.1025, Accuracy: 96.43%, Time: 4.98 seconds
Epoch [78/100], Loss: 0.1134, Accuracy: 96.09%, Time: 4.97 seconds
Epoch [79/100], Loss: 0.0926, Accuracy: 96.85%, Time: 4.98 seconds
Epoch [80/100], Loss: 0.0913, Accuracy: 96.87%, Time: 4.89 seconds
Epoch [81/100], Loss: 0.0927, Accuracy: 96.88%, Time: 4.98 seconds
Epoch [82/100], Loss: 0.1052, Accuracy: 96.41%, Time: 4.96 seconds
Epoch [83/100], Loss: 0.1028, Accuracy: 96.52%, Time: 4.97 seconds
Epoch [84/100], Loss: 0.0878, Accuracy: 97.04%, Time: 4.95 seconds
Epoch [85/100], Loss: 0.1003, Accuracy: 96.54%, Time: 4.94 seconds
Epoch [86/100], Loss: 0.1016, Accuracy: 96.51%, Time: 5.00 seconds
Epoch [87/100], Loss: 0.0878, Accuracy: 97.04%, Time: 4.97 seconds
Epoch [88/100], Loss: 0.0902, Accuracy: 96.94%, Time: 5.23 seconds
Epoch [89/100], Loss: 0.1110, Accuracy: 96.11%, Time: 5.24 seconds
Epoch [90/100], Loss: 0.1060, Accuracy: 96.40%, Time: 5.18 seconds
Epoch [91/100], Loss: 0.0887, Accuracy: 96.98%, Time: 5.26 seconds
Epoch [92/100], Loss: 0.0883, Accuracy: 97.05%, Time: 5.20 seconds
Epoch [93/100], Loss: 0.0954, Accuracy: 96.75%, Time: 5.01 seconds
Epoch [94/100], Loss: 0.1078, Accuracy: 96.29%, Time: 4.94 seconds
Epoch [95/100], Loss: 0.0940, Accuracy: 96.79%, Time: 4.94 seconds
Epoch [96/100], Loss: 0.0858, Accuracy: 97.09%, Time: 4.90 seconds
Epoch [97/100], Loss: 0.0933, Accuracy: 96.87%, Time: 4.85 seconds
Epoch [98/100], Loss: 0.0888, Accuracy: 97.04%, Time: 4.94 seconds
Epoch [99/100], Loss: 0.0995, Accuracy: 96.55%, Time: 5.04 seconds
Epoch [100/100], Loss: 0.0949, Accuracy: 96.79%, Time: 5.08 seconds
Finished Training
